#     Non-channel data
  RctLsb  0.50000
    Gain  0.17700
#             eta             phi             dep             det   Rcalib  LutGranularity  OutputLutThreshold      DetId
              -15               7               2              HB  1.13090               1                   1   43203C07
              -16               7               1              HB  1.13975               1                   1   43104007
              -16               7               2              HB  1.13975               1                   1   43204007
               -1               8               1              HB  1.14158               1                   1   43100408
               -2               8               1              HB  1.14108               1                   1   43100808
               -3               8               1              HB  1.14022               1                   1   43100C08
               -4               8               1              HB  1.13989               1                   1   43101008
               -5               8               1              HB  1.13868               1                   1   43101408
               -6               8               1              HB  1.13826               1                   1   43101808
               -7               8               1              HB  1.13653               1                   1   43101C08
               -8               8               1              HB  1.13632               1                   1   43102008
               -9               8               1              HB  1.13617               1                   1   43102408
              -10               8               1              HB  1.13472               1                   1   43102808
              -11               8               1              HB  1.13421               1                   1   43102C08
              -12               8               1              HB  1.13407               1                   1   43103008
              -13               8               1              HB  1.13332               1                   1   43103408
              -14               8               1              HB  1.13091               1                   1   43103808
              -15               8               1              HB  1.13090               1                   1   43103C08
              -15               8               2              HB  1.13090               1                   1   43203C08
              -16               8               1              HB  1.13975               1                   1   43104008
              -16               8               2              HB  1.13975               1                   1   43204008
               -1               9               1              HB  1.14158               1                   1   43100409
               -2               9               1              HB  1.14108               1                   1   43100809
               -3               9               1              HB  1.14022               1                   1   43100C09
               -4               9               1              HB  1.13989               1                   1   43101009
               -5               9               1              HB  1.13868               1                   1   43101409
               -6               9               1              HB  1.13826               1                   1   43101809
               -7               9               1              HB  1.13653               1                   1   43101C09
               -8               9               1              HB  1.13632               1                   1   43102009
               -9               9               1              HB  1.13617               1                   1   43102409
              -10               9               1              HB  1.13472               1                   1   43102809
              -11               9               1              HB  1.13421               1                   1   43102C09
              -12               9               1              HB  1.13407               1                   1   43103009
              -13               9               1              HB  1.13332               1                   1   43103409
              -14               9               1              HB  1.13091               1                   1   43103809
              -15               9               1              HB  1.13090               1                   1   43103C09
              -15               9               2              HB  1.13090               1                   1   43203C09
              -16               9               1              HB  1.13975               1                   1   43104009
              -16               9               2              HB  1.13975               1                   1   43204009
               -1              10               1              HB  1.14158               1                   1   4310040A
               -2              10               1              HB  1.14108               1                   1   4310080A
               -3              10               1              HB  1.14022               1                   1   43100C0A
