#     Non-channel data
  RctLsb  0.50000
    Gain  0.17700
#             eta             phi             dep             det   Rcalib  LutGranularity  OutputLutThreshold      DetId
               11              64               1              HB  1.13363               1                   1   43182C40
               12              64               1              HB  1.13373               1                   1   43183040
               13              64               1              HB  1.13311               1                   1   43183440
               14              64               1              HB  1.13083               1                   1   43183840
               15              64               1              HB  1.13144               1                   1   43183C40
               15              64               2              HB  1.13144               1                   1   43283C40
               16              64               1              HB  1.13955               1                   1   43184040
               16              64               2              HB  1.13955               1                   1   43284040
                1              65               1              HB  1.14004               1                   1   43180441
                2              65               1              HB  1.13958               1                   1   43180841
                3              65               1              HB  1.13786               1                   1   43180C41
                4              65               1              HB  1.13859               1                   1   43181041
                5              65               1              HB  1.13705               1                   1   43181441
                6              65               1              HB  1.13772               1                   1   43181841
                7              65               1              HB  1.13691               1                   1   43181C41
                8              65               1              HB  1.13551               1                   1   43182041
                9              65               1              HB  1.13521               1                   1   43182441
               10              65               1              HB  1.13389               1                   1   43182841
               11              65               1              HB  1.13363               1                   1   43182C41
               12              65               1              HB  1.13373               1                   1   43183041
               13              65               1              HB  1.13311               1                   1   43183441
               14              65               1              HB  1.13083               1                   1   43183841
               15              65               1              HB  1.13144               1                   1   43183C41
               15              65               2              HB  1.13144               1                   1   43283C41
               16              65               1              HB  1.13955               1                   1   43184041
               16              65               2              HB  1.13955               1                   1   43284041
                1              66               1              HB  1.14004               1                   1   43180442
                2              66               1              HB  1.13958               1                   1   43180842
                3              66               1              HB  1.13786               1                   1   43180C42
                4              66               1              HB  1.13859               1                   1   43181042
                5              66               1              HB  1.13705               1                   1   43181442
                6              66               1              HB  1.13772               1                   1   43181842
                7              66               1              HB  1.13691               1                   1   43181C42
                8              66               1              HB  1.13551               1                   1   43182042
                9              66               1              HB  1.13521               1                   1   43182442
               10              66               1              HB  1.13389               1                   1   43182842
               11              66               1              HB  1.13363               1                   1   43182C42
               12              66               1              HB  1.13373               1                   1   43183042
               13              66               1              HB  1.13311               1                   1   43183442
               14              66               1              HB  1.13083               1                   1   43183842
               15              66               1              HB  1.13144               1                   1   43183C42
               15              66               2              HB  1.13144               1                   1   43283C42
               16              66               1              HB  1.13955               1                   1   43184042
               16              66               2              HB  1.13955               1                   1   43284042
                1              67               1              HB  1.14004               1                   1   43180443
                2              67               1              HB  1.13958               1                   1   43180843
                3              67               1              HB  1.13786               1                   1   43180C43
                4              67               1              HB  1.13859               1                   1   43181043
                5              67               1              HB  1.13705               1                   1   43181443
                6              67               1              HB  1.13772               1                   1   43181843
                7              67               1              HB  1.13691               1                   1   43181C43
                8              67               1              HB  1.13551               1                   1   43182043
                9              67               1              HB  1.13521               1                   1   43182443
               10              67               1              HB  1.13389               1                   1   43182843
               11              67               1              HB  1.13363               1                   1   43182C43
               12              67               1              HB  1.13373               1                   1   43183043
               13              67               1              HB  1.13311               1                   1   43183443
               14              67               1              HB  1.13083               1                   1   43183843
               15              67               1              HB  1.13144               1                   1   43183C43
               15              67               2              HB  1.13144               1                   1   43283C43
               16              67               1              HB  1.13955               1                   1   43184043
               16              67               2              HB  1.13955               1                   1   43284043
                1              68               1              HB  1.14004               1                   1   43180444
                2              68               1              HB  1.13958               1                   1   43180844
                3              68               1              HB  1.13786               1                   1   43180C44
                4              68               1              HB  1.13859               1                   1   43181044
                5              68               1              HB  1.13705               1                   1   43181444
                6              68               1              HB  1.13772               1                   1   43181844
                7              68               1              HB  1.13691               1                   1   43181C44
                8              68               1              HB  1.13551               1                   1   43182044
                9              68               1              HB  1.13521               1                   1   43182444
               10              68               1              HB  1.13389               1                   1   43182844
               11              68               1              HB  1.13363               1                   1   43182C44
               12              68               1              HB  1.13373               1                   1   43183044
               13              68               1              HB  1.13311               1                   1   43183444
               14              68               1              HB  1.13083               1                   1   43183844
               15              68               1              HB  1.13144               1                   1   43183C44
               15              68               2              HB  1.13144               1                   1   43283C44
               16              68               1              HB  1.13955               1                   1   43184044
               16              68               2              HB  1.13955               1                   1   43284044
                1              69               1              HB  1.14004               1                   1   43180445
                2              69               1              HB  1.13958               1                   1   43180845
                3              69               1              HB  1.13786               1                   1   43180C45
                4              69               1              HB  1.13859               1                   1   43181045
                5              69               1              HB  1.13705               1                   1   43181445
                6              69               1              HB  1.13772               1                   1   43181845
                7              69               1              HB  1.13691               1                   1   43181C45
                8              69               1              HB  1.13551               1                   1   43182045
                9              69               1              HB  1.13521               1                   1   43182445
               10              69               1              HB  1.13389               1                   1   43182845
               11              69               1              HB  1.13363               1                   1   43182C45
               12              69               1              HB  1.13373               1                   1   43183045
               13              69               1              HB  1.13311               1                   1   43183445
               14              69               1              HB  1.13083               1                   1   43183845
               15              69               1              HB  1.13144               1                   1   43183C45
               15              69               2              HB  1.13144               1                   1   43283C45
               16              69               1              HB  1.13955               1                   1   43184045
               16              69               2              HB  1.13955               1                   1   43284045
                1              70               1              HB  1.14004               1                   1   43180446
                2              70               1              HB  1.13958               1                   1   43180846
                3              70               1              HB  1.13786               1                   1   43180C46
                4              70               1              HB  1.13859               1                   1   43181046
                5              70               1              HB  1.13705               1                   1   43181446
                6              70               1              HB  1.13772               1                   1   43181846
                7              70               1              HB  1.13691               1                   1   43181C46
                8              70               1              HB  1.13551               1                   1   43182046
                9              70               1              HB  1.13521               1                   1   43182446
               10              70               1              HB  1.13389               1                   1   43182846
               11              70               1              HB  1.13363               1                   1   43182C46
               12              70               1              HB  1.13373               1                   1   43183046
               13              70               1              HB  1.13311               1                   1   43183446
               14              70               1              HB  1.13083               1                   1   43183846
               15              70               1              HB  1.13144               1                   1   43183C46
               15              70               2              HB  1.13144               1                   1   43283C46
               16              70               1              HB  1.13955               1                   1   43184046
               16              70               2              HB  1.13955               1                   1   43284046
                1              71               1              HB  1.14004               1                   1   43180447
                2              71               1              HB  1.13958               1                   1   43180847
                3              71               1              HB  1.13786               1                   1   43180C47
                4              71               1              HB  1.13859               1                   1   43181047
                5              71               1              HB  1.13705               1                   1   43181447
                6              71               1              HB  1.13772               1                   1   43181847
                7              71               1              HB  1.13691               1                   1   43181C47
                8              71               1              HB  1.13551               1                   1   43182047
                9              71               1              HB  1.13521               1                   1   43182447
               10              71               1              HB  1.13389               1                   1   43182847
               11              71               1              HB  1.13363               1                   1   43182C47
               12              71               1              HB  1.13373               1                   1   43183047
               13              71               1              HB  1.13311               1                   1   43183447
               14              71               1              HB  1.13083               1                   1   43183847
               15              71               1              HB  1.13144               1                   1   43183C47
               15              71               2              HB  1.13144               1                   1   43283C47
               16              71               1              HB  1.13955               1                   1   43184047
               16              71               2              HB  1.13955               1                   1   43284047
                1              72               1              HB  1.14004               1                   1   43180448
                2              72               1              HB  1.13958               1                   1   43180848
                3              72               1              HB  1.13786               1                   1   43180C48
                4              72               1              HB  1.13859               1                   1   43181048
                5              72               1              HB  1.13705               1                   1   43181448
                6              72               1              HB  1.13772               1                   1   43181848
                7              72               1              HB  1.13691               1                   1   43181C48
                8              72               1              HB  1.13551               1                   1   43182048
                9              72               1              HB  1.13521               1                   1   43182448
               10              72               1              HB  1.13389               1                   1   43182848
               11              72               1              HB  1.13363               1                   1   43182C48
               12              72               1              HB  1.13373               1                   1   43183048
               13              72               1              HB  1.13311               1                   1   43183448
               14              72               1              HB  1.13083               1                   1   43183848
               15              72               1              HB  1.13144               1                   1   43183C48
               15              72               2              HB  1.13144               1                   1   43283C48
               16              72               1              HB  1.13955               1                   1   43184048
               16              72               2              HB  1.13955               1                   1   43284048
              -16               1               3              HE  1.13975               1                   1   45304001
              -17               1               1              HE  1.13145               1                   1   45104401
              -18               1               1              HE  1.13714               2                   1   45104801
              -18               1               2              HE  1.13714               2                   1   45204801
              -19               1               1              HE  1.13735               2                   1   45104C01
              -19               1               2              HE  1.13735               2                   1   45204C01
              -20               1               1              HE  1.13688               2                   1   45105001
              -20               1               2              HE  1.13688               2                   1   45205001
              -21               1               1              HE  1.13139               2                   1   45105401
              -21               1               2              HE  1.13139               2                   1   45205401
              -22               1               1              HE  1.13117               2                   1   45105801
              -22               1               2              HE  1.13117               2                   1   45205801
              -23               1               1              HE  1.13004               2                   1   45105C01
              -23               1               2              HE  1.13004               2                   1   45205C01
              -24               1               1              HE  1.12921               2                   1   45106001
              -24               1               2              HE  1.12921               2                   1   45206001
              -25               1               1              HE  1.12778               2                   1   45106401
              -25               1               2              HE  1.12778               2                   1   45206401
              -26               1               1              HE  1.12682               2                   1   45106801
              -26               1               2              HE  1.12682               2                   1   45206801
              -27               1               1              HE  1.13389               5                   1   45106C01
              -27               1               2              HE  1.13389               5                   1   45206C01
              -27               1               3              HE  1.13389               5                   1   45306C01
              -28               1               1              HE  1.13838               5                   1   45107001
              -28               1               2              HE  1.13838               5                   1   45207001
              -28               1               3              HE  1.13838               5                   1   45307001
              -29               1               1              HE  1.13838               5                   1   45107401
              -29               1               2              HE  1.13838               5                   1   45207401
              -16               2               3              HE  1.13975               1                   1   45304002
              -17               2               1              HE  1.13145               1                   1   45104402
              -18               2               1              HE  1.13714               2                   1   45104802
              -18               2               2              HE  1.13714               2                   1   45204802
              -19               2               1              HE  1.13735               2                   1   45104C02
              -19               2               2              HE  1.13735               2                   1   45204C02
              -20               2               1              HE  1.13688               2                   1   45105002
              -20               2               2              HE  1.13688               2                   1   45205002
              -16               3               3              HE  1.13975               1                   1   45304003
              -17               3               1              HE  1.13145               1                   1   45104403
              -18               3               1              HE  1.13714               2                   1   45104803
              -18               3               2              HE  1.13714               2                   1   45204803
              -19               3               1              HE  1.13735               2                   1   45104C03
              -19               3               2              HE  1.13735               2                   1   45204C03
              -20               3               1              HE  1.13688               2                   1   45105003
              -20               3               2              HE  1.13688               2                   1   45205003
              -21               3               1              HE  1.13139               2                   1   45105403
              -21               3               2              HE  1.13139               2                   1   45205403
              -22               3               1              HE  1.13117               2                   1   45105803
              -22               3               2              HE  1.13117               2                   1   45205803
              -23               3               1              HE  1.13004               2                   1   45105C03
              -23               3               2              HE  1.13004               2                   1   45205C03
              -24               3               1              HE  1.12921               2                   1   45106003
              -24               3               2              HE  1.12921               2                   1   45206003
              -25               3               1              HE  1.12778               2                   1   45106403
              -25               3               2              HE  1.12778               2                   1   45206403
              -26               3               1              HE  1.12682               2                   1   45106803
              -26               3               2              HE  1.12682               2                   1   45206803
              -27               3               1              HE  1.13389               5                   1   45106C03
              -27               3               2              HE  1.13389               5                   1   45206C03
              -27               3               3              HE  1.13389               5                   1   45306C03
              -28               3               1              HE  1.13838               5                   1   45107003
              -28               3               2              HE  1.13838               5                   1   45207003
              -28               3               3              HE  1.13838               5                   1   45307003
              -29               3               1              HE  1.13838               5                   1   45107403
              -29               3               2              HE  1.13838               5                   1   45207403
              -16               4               3              HE  1.13975               1                   1   45304004
              -17               4               1              HE  1.13145               1                   1   45104404
              -18               4               1              HE  1.13714               2                   1   45104804
              -18               4               2              HE  1.13714               2                   1   45204804
              -19               4               1              HE  1.13735               2                   1   45104C04
              -19               4               2              HE  1.13735               2                   1   45204C04
              -20               4               1              HE  1.13688               2                   1   45105004
              -20               4               2              HE  1.13688               2                   1   45205004
              -16               5               3              HE  1.13975               1                   1   45304005
              -17               5               1              HE  1.13145               1                   1   45104405
              -18               5               1              HE  1.13714               2                   1   45104805
              -18               5               2              HE  1.13714               2                   1   45204805
              -19               5               1              HE  1.13735               2                   1   45104C05
              -19               5               2              HE  1.13735               2                   1   45204C05
              -20               5               1              HE  1.13688               2                   1   45105005
              -20               5               2              HE  1.13688               2                   1   45205005
              -21               5               1              HE  1.13139               2                   1   45105405
              -21               5               2              HE  1.13139               2                   1   45205405
              -22               5               1              HE  1.13117               2                   1   45105805
              -22               5               2              HE  1.13117               2                   1   45205805
              -23               5               1              HE  1.13004               2                   1   45105C05
              -23               5               2              HE  1.13004               2                   1   45205C05
              -24               5               1              HE  1.12921               2                   1   45106005
              -24               5               2              HE  1.12921               2                   1   45206005
              -25               5               1              HE  1.12778               2                   1   45106405
              -25               5               2              HE  1.12778               2                   1   45206405
              -26               5               1              HE  1.12682               2                   1   45106805
              -26               5               2              HE  1.12682               2                   1   45206805
              -27               5               1              HE  1.13389               5                   1   45106C05
              -27               5               2              HE  1.13389               5                   1   45206C05
              -27               5               3              HE  1.13389               5                   1   45306C05
              -28               5               1              HE  1.13838               5                   1   45107005
              -28               5               2              HE  1.13838               5                   1   45207005
              -28               5               3              HE  1.13838               5                   1   45307005
              -29               5               1              HE  1.13838               5                   1   45107405
              -29               5               2              HE  1.13838               5                   1   45207405
              -16               6               3              HE  1.13975               1                   1   45304006
              -17               6               1              HE  1.13145               1                   1   45104406
              -18               6               1              HE  1.13714               2                   1   45104806
              -18               6               2              HE  1.13714               2                   1   45204806
              -19               6               1              HE  1.13735               2                   1   45104C06
              -19               6               2              HE  1.13735               2                   1   45204C06
              -20               6               1              HE  1.13688               2                   1   45105006
              -20               6               2              HE  1.13688               2                   1   45205006
              -16               7               3              HE  1.13975               1                   1   45304007
              -17               7               1              HE  1.13145               1                   1   45104407
              -18               7               1              HE  1.13714               2                   1   45104807
              -18               7               2              HE  1.13714               2                   1   45204807
              -19               7               1              HE  1.13735               2                   1   45104C07
              -19               7               2              HE  1.13735               2                   1   45204C07
              -20               7               1              HE  1.13688               2                   1   45105007
              -20               7               2              HE  1.13688               2                   1   45205007
              -21               7               1              HE  1.13139               2                   1   45105407
              -21               7               2              HE  1.13139               2                   1   45205407
              -22               7               1              HE  1.13117               2                   1   45105807
              -22               7               2              HE  1.13117               2                   1   45205807
              -23               7               1              HE  1.13004               2                   1   45105C07
              -23               7               2              HE  1.13004               2                   1   45205C07
              -24               7               1              HE  1.12921               2                   1   45106007
              -24               7               2              HE  1.12921               2                   1   45206007
              -25               7               1              HE  1.12778               2                   1   45106407
              -25               7               2              HE  1.12778               2                   1   45206407
              -26               7               1              HE  1.12682               2                   1   45106807
              -26               7               2              HE  1.12682               2                   1   45206807
              -27               7               1              HE  1.13389               5                   1   45106C07
              -27               7               2              HE  1.13389               5                   1   45206C07
              -27               7               3              HE  1.13389               5                   1   45306C07
              -28               7               1              HE  1.13838               5                   1   45107007
              -28               7               2              HE  1.13838               5                   1   45207007
              -28               7               3              HE  1.13838               5                   1   45307007
              -29               7               1              HE  1.13838               5                   1   45107407
              -29               7               2              HE  1.13838               5                   1   45207407
              -16               8               3              HE  1.13975               1                   1   45304008
              -17               8               1              HE  1.13145               1                   1   45104408
              -18               8               1              HE  1.13714               2                   1   45104808
              -18               8               2              HE  1.13714               2                   1   45204808
              -19               8               1              HE  1.13735               2                   1   45104C08
              -19               8               2              HE  1.13735               2                   1   45204C08
              -20               8               1              HE  1.13688               2                   1   45105008
              -20               8               2              HE  1.13688               2                   1   45205008
              -16               9               3              HE  1.13975               1                   1   45304009
              -17               9               1              HE  1.13145               1                   1   45104409
              -18               9               1              HE  1.13714               2                   1   45104809
              -18               9               2              HE  1.13714               2                   1   45204809
              -19               9               1              HE  1.13735               2                   1   45104C09
              -19               9               2              HE  1.13735               2                   1   45204C09
              -20               9               1              HE  1.13688               2                   1   45105009
              -20               9               2              HE  1.13688               2                   1   45205009
              -21               9               1              HE  1.13139               2                   1   45105409
              -21               9               2              HE  1.13139               2                   1   45205409
              -22               9               1              HE  1.13117               2                   1   45105809
              -22               9               2              HE  1.13117               2                   1   45205809
              -23               9               1              HE  1.13004               2                   1   45105C09
              -23               9               2              HE  1.13004               2                   1   45205C09
              -24               9               1              HE  1.12921               2                   1   45106009
              -24               9               2              HE  1.12921               2                   1   45206009
              -25               9               1              HE  1.12778               2                   1   45106409
              -25               9               2              HE  1.12778               2                   1   45206409
              -26               9               1              HE  1.12682               2                   1   45106809
              -26               9               2              HE  1.12682               2                   1   45206809
              -27               9               1              HE  1.13389               5                   1   45106C09
              -27               9               2              HE  1.13389               5                   1   45206C09
              -27               9               3              HE  1.13389               5                   1   45306C09
              -28               9               1              HE  1.13838               5                   1   45107009
              -28               9               2              HE  1.13838               5                   1   45207009
              -28               9               3              HE  1.13838               5                   1   45307009
              -29               9               1              HE  1.13838               5                   1   45107409
              -29               9               2              HE  1.13838               5                   1   45207409
              -16              10               3              HE  1.13975               1                   1   4530400A
              -17              10               1              HE  1.13145               1                   1   4510440A
              -18              10               1              HE  1.13714               2                   1   4510480A
              -18              10               2              HE  1.13714               2                   1   4520480A
              -19              10               1              HE  1.13735               2                   1   45104C0A
              -19              10               2              HE  1.13735               2                   1   45204C0A
              -20              10               1              HE  1.13688               2                   1   4510500A
              -20              10               2              HE  1.13688               2                   1   4520500A
              -16              11               3              HE  1.13975               1                   1   4530400B
              -17              11               1              HE  1.13145               1                   1   4510440B
              -18              11               1              HE  1.13714               2                   1   4510480B
              -18              11               2              HE  1.13714               2                   1   4520480B
              -19              11               1              HE  1.13735               2                   1   45104C0B
              -19              11               2              HE  1.13735               2                   1   45204C0B
              -20              11               1              HE  1.13688               2                   1   4510500B
              -20              11               2              HE  1.13688               2                   1   4520500B
              -21              11               1              HE  1.13139               2                   1   4510540B
              -21              11               2              HE  1.13139               2                   1   4520540B
              -22              11               1              HE  1.13117               2                   1   4510580B
              -22              11               2              HE  1.13117               2                   1   4520580B
              -23              11               1              HE  1.13004               2                   1   45105C0B
              -23              11               2              HE  1.13004               2                   1   45205C0B
              -24              11               1              HE  1.12921               2                   1   4510600B
              -24              11               2              HE  1.12921               2                   1   4520600B
              -25              11               1              HE  1.12778               2                   1   4510640B
              -25              11               2              HE  1.12778               2                   1   4520640B
              -26              11               1              HE  1.12682               2                   1   4510680B
              -26              11               2              HE  1.12682               2                   1   4520680B
              -27              11               1              HE  1.13389               5                   1   45106C0B
              -27              11               2              HE  1.13389               5                   1   45206C0B
              -27              11               3              HE  1.13389               5                   1   45306C0B
              -28              11               1              HE  1.13838               5                   1   4510700B
              -28              11               2              HE  1.13838               5                   1   4520700B
              -28              11               3              HE  1.13838               5                   1   4530700B
              -29              11               1              HE  1.13838               5                   1   4510740B
              -29              11               2              HE  1.13838               5                   1   4520740B
              -16              12               3              HE  1.13975               1                   1   4530400C
              -17              12               1              HE  1.13145               1                   1   4510440C
              -18              12               1              HE  1.13714               2                   1   4510480C
              -18              12               2              HE  1.13714               2                   1   4520480C
              -19              12               1              HE  1.13735               2                   1   45104C0C
              -19              12               2              HE  1.13735               2                   1   45204C0C
              -20              12               1              HE  1.13688               2                   1   4510500C
              -20              12               2              HE  1.13688               2                   1   4520500C
              -16              13               3              HE  1.13975               1                   1   4530400D
